unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible,solution_count
45726,1091049489,8,a1 a5 b6 c1 d2 e1 f1,12,17,-5,1,0
45749,4533,8,a1 a3 a5 a6 b2 b3 c1,13,16,-3,1,0
46094,135349,8,a1 a3 a5 a6 b2 c1 c6,13,16,-3,1,0
46116,69813,8,a1 a3 a5 a6 b2 c1 c5,12,17,-5,1,0
46137,37045,8,a1 a3 a5 a6 b2 c1 c4,13,16,-3,1,0
46157,20661,8,a1 a3 a5 a6 b2 c1 c3,12,17,-5,1,0
46176,12469,8,a1 a3 a5 a6 b2 c1 c2,13,16,-3,1,0
46195,394283,8,a1 a2 a4 a6 b5 c6 d1,17,12,5,1,0
46196,656427,8,a1 a2 a4 a6 b5 c6 d2,16,13,3,1,0
46197,1180715,8,a1 a2 a4 a6 b5 c6 d3,17,12,5,1,0
46198,1052853,8,a1 a3 a5 a6 b2 c1 d3,13,16,-3,1,0
46199,528565,8,a1 a3 a5 a6 b2 c1 d2,12,17,-5,1,0
46200,266421,8,a1 a3 a5 a6 b2 c1 d1,13,16,-3,1,0
46201,16909355,8,a1 a2 a4 a6 b5 c6 e1,16,13,3,1,0
46202,33686571,8,a1 a2 a4 a6 b5 c6 e2,17,12,5,1,0
46203,67241003,8,a1 a2 a4 a6 b5 c6 e3,16,13,3,1,0
46204,67113141,8,a1 a3 a5 a6 b2 c1 e3,12,17,-5,1,0
46205,33558709,8,a1 a3 a5 a6 b2 c1 e2,13,16,-3,1,0
46206,16781493,8,a1 a3 a5 a6 b2 c1 e1,12,17,-5,1,0
46207,1073873963,8,a1 a2 a4 a6 b5 c6 f1,17,12,5,1,0
46208,1627394181,8,a1 a3 b2 c1 e1 e6 f1,13,16,-3,1,0
46209,1098911877,8,a1 a3 b2 c1 d6 e1 f1,12,17,-5,1,0
46210,1090654341,8,a1 a3 b2 c1 c6 e1 f1,13,16,-3,1,0
46211,1090525317,8,a1 a3 b2 b6 c1 e1 f1,12,17,-5,1,0
46212,1073746101,8,a1 a3 a5 a6 b2 c1 f1,13,16,-3,1,0
46306,1107560529,8,a1 a5 b1 b6 d1 e2 f1,15,14,1,1,0
46349,1090525329,8,a1 a5 b2 b6 c1 e1 f1,12,17,-5,1,0
48978,9035,8,a1 a2 a4 b1 b3 b4 c2,16,13,3,1,0
49002,9547,8,a1 a2 a4 b1 b3 b5 c2,17,12,5,1,0
49004,19124,8,a3 a5 a6 b2 b4 b6 c3,12,17,-5,1,0
49025,10571,8,a1 a2 a4 b1 b3 b6 c2,16,13,3,1,0
49048,24907,8,a1 a2 a4 b1 b3 c2 c3,16,13,3,1,0
49049,41291,8,a1 a2 a4 b1 b3 c2 c4,17,12,5,1,0
49050,74059,8,a1 a2 a4 b1 b3 c2 c5,16,13,3,1,0
49051,72244,8,a3 a5 a6 b4 b6 c1 c5,12,17,-5,1,0
49052,270667,4,a1 a2 a4 b1 b3 c2 d1,17,12,5,1,0
49053,271171,8,a1 a2 b1 b3 b4 c2 d1,16,13,3,1,0
49054,303427,8,a1 a2 b1 b3 c2 c4 d1,17,12,5,1,0
49055,1116724,8,a3 a5 a6 b4 b6 c5 d3,13,16,-3,1,0
49056,592436,8,a3 a5 a6 b4 b6 c5 d2,12,17,-5,1,0
49057,330292,8,a3 a5 a6 b4 b6 c5 d1,13,16,-3,1,0
49058,270675,8,a1 a2 a5 b1 b3 c2 d1,16,13,3,1,0
49059,271683,8,a1 a2 b1 b3 b5 c2 d1,17,12,5,1,0
49060,336195,8,a1 a2 b1 b3 c2 c5 d1,16,13,3,1,0
49061,4464963,8,a1 a2 b1 b3 c2 d1 d5,17,12,5,1,0
49062,33622580,8,a3 a5 a6 b4 b6 c5 e2,13,16,-3,1,0
49063,16845364,8,a3 a5 a6 b4 b6 c5 e1,12,17,-5,1,0
49064,270691,8,a1 a2 a6 b1 b3 c2 d1,17,12,5,1,0
49065,272707,8,a1 a2 b1 b3 b6 c2 d1,16,13,3,1,0
49066,401731,8,a1 a2 b1 b3 c2 c6 d1,17,12,5,1,0
49067,8659267,8,a1 a2 b1 b3 c2 d1 d6,16,13,3,1,0
49068,25233968,8,a5 a6 b4 b6 c5 d6 e1,12,17,-5,1,0
49069,1073809972,8,a3 a5 a6 b4 b6 c5 f1,13,16,-3,1,0
49239,272467,8,a1 a2 a5 b1 b6 c2 d1,15,14,1,1,0
49282,2164263476,8,a3 a5 a6 b4 b6 e1 f2,12,17,-5,1,0
51721,5003,8,a1 a2 a4 b2 b3 b4 c1,14,15,-1,1,0
51746,5515,8,a1 a2 a4 b2 b3 b5 c1,15,14,1,1,0
51749,18100,8,a3 a5 a6 b2 b4 b5 c3,13,16,-3,1,0
51770,6539,8,a1 a2 a4 b2 b3 b6 c1,14,15,-1,1,0
51794,12683,8,a1 a2 a4 b2 b3 c1 c2,15,14,1,1,0
51795,20875,8,a1 a2 a4 b2 b3 c1 c3,14,15,-1,1,0
51796,37259,8,a1 a2 a4 b2 b3 c1 c4,15,14,1,1,0
51797,70027,8,a1 a2 a4 b2 b3 c1 c5,14,15,-1,1,0
51798,135563,8,a1 a2 a4 b2 b3 c1 c6,15,14,1,1,0
51799,266635,8,a1 a2 a4 b2 b3 c1 d1,15,14,1,1,0
51800,271045,8,a1 a3 b1 b2 b4 c2 d1,14,15,-1,1,0
51801,303301,8,a1 a3 b1 b2 c2 c4 d1,15,14,1,1,0
51802,1181236,8,a3 a5 a6 b4 b5 c6 d3,15,14,1,1,0
51803,656948,8,a3 a5 a6 b4 b5 c6 d2,14,15,-1,1,0
51804,394804,8,a3 a5 a6 b4 b5 c6 d1,15,14,1,1,0
51805,270549,8,a1 a3 a5 b1 b2 c2 d1,14,15,-1,1,0
51806,271557,8,a1 a3 b1 b2 b5 c2 d1,15,14,1,1,0
51807,336069,8,a1 a3 b1 b2 c2 c5 d1,14,15,-1,1,0
51808,4464837,8,a1 a3 b1 b2 c2 d1 d5,15,14,1,1,0
51809,33687092,8,a3 a5 a6 b4 b5 c6 e2,15,14,1,1,0
51810,16909876,8,a3 a5 a6 b4 b5 c6 e1,14,15,-1,1,0
51811,270565,8,a1 a3 a6 b1 b2 c2 d1,15,14,1,1,0
