unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible
516263,1614848034,8,a2 a6 c2 c4 d5 e6 f1,18,11,7,0
516272,285755409,8,a1 a5 b6 c3 d2 e1 e5,11,18,-7,0
516274,294141969,8,a1 a5 c3 d2 d6 e1 e5,11,18,-7,0
516276,1644200226,8,a2 a6 b3 c4 e2 e6 f1,18,11,7,0
516282,25708561,8,a1 a5 b6 c3 d2 d6 e1,11,18,-7,0
516284,1614839906,8,a2 a6 b1 c4 d5 e6 f1,18,11,7,0
516335,285820929,8,a1 b6 c3 c5 d2 e1 e5,11,18,-7,0
516337,294207489,8,a1 c3 c5 d2 d6 e1 e5,11,18,-7,0
516339,1078994016,8,a6 b1 b5 c2 d3 d5 f1,18,11,7,0
516347,25774081,8,a1 b6 c3 c5 d2 d6 e1,11,18,-7,0
516349,1614848096,8,a6 b1 c2 c4 d5 e6 f1,18,11,7,0
516381,294144001,8,a1 b6 c3 d2 d6 e1 e5,11,18,-7,0
517344,5513506,8,a2 a6 b3 c2 d1 d3 d5,18,11,7,0
517345,19464721,8,a1 a5 b4 c5 d2 d4 e1,11,18,-7,0
517347,69796369,8,a1 a5 b4 c5 d2 d4 e3,11,18,-7,0
517349,38805794,8,a2 a6 b3 c2 d3 d5 e2,18,11,7,0
517352,86510081,8,a1 b4 b6 d2 d4 e1 e3,11,18,-7,0
